Car.Sales,Sale.Price,Mileage,Advt.Expenses
4662,298346,21,27443
3726,300723,19,19050
984,300805,22,79935
1272,299389,15,42939
1665,299574,18,68879
1694,299271,21,77331
3375,298004,14,17513
3841,300659,18,54784
1610,299319,27,84655
2743,299663,17,15627
4272,300179,24,44814
4844,299403,22,65791
3274,300230,18,77945
3572,300003,15,75743
2711,299328,18,24162
1440,301089,23,31911
1746,300319,18,79503
3268,300740,28,98139
2618,300127,16,61292
1311,298794,16,65546
3197,300425,23,11828
2539,299703,20,68260
2888,300231,15,31072
540,299634,17,52659
1352,301315,13,41480
1302,300385,15,79744
4938,300568,23,81840
1080,299675,14,77598
4330,301235,20,19780
592,299698,22,87346
680,299696,17,46756
4165,299277,19,50783
2493,300741,22,30866
2145,299509,22,30391
4332,299061,22,23032
662,302285,21,38373
4867,299775,20,91250
4219,299798,20,96594
2018,300013,20,30302
2406,300990,23,76111
4004,299270,32,22283
4069,299895,21,18726
2243,301346,17,29922
1953,299757,22,89962
2030,300261,19,64727
2344,300439,18,77544
1065,300844,18,40422
794,300615,16,42262
4341,299439,21,71387
4531,298558,22,13183
3345,299697,16,91607
1410,300598,20,66835
